company_id,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y
RELIANCE,24.46,9.61,7.57,13.71,14.68,13.36,9.35,11.95,12.29
SBILIFE,17.24,24.23,22.56,9.16,7.37,10.03,8.2,7.89,10.5
SBIN,16.45,11.63,8.79,42.79,83.41,16.73,44.22,90.37,14.72
SHREECEM,14.81,10.33,13.64,-9.49,11.29,8.21,-9.43,10.68,7.82
SHRIRAMFIN,27.83,18.56,15.68,43.59,23.49,18.48,29.4,14.29,13.49
SIEMENS,19.0,11.19,7.61,35.65,19.85,16.25,34.84,19.64,16.15
SUNPHARMA,13.13,10.78,11.67,61.72,24.54,9.5,49.38,29.46,10.31
TATACONSUM,9.44,15.96,6.99,9.32,21.6,9.07,10.06,14.87,5.54
TATAMOTORS,20.58,7.72,6.52,,,8.51,,,6.95
TATAPOWER,23.4,15.51,5.57,43.81,10.43,79.98,44.22,5.92,
TATASTEEL,13.61,7.77,4.43,,,,,,
TCS,13.63,10.46,11.4,12.29,7.87,9.08,13.01,8.62,9.99
TECHM,11.16,8.4,10.71,-18.04,-10.99,-2.42,-19.5,-11.42,-2.84
TITAN,33.14,20.9,16.68,53.11,20.27,16.88,52.48,19.51,17.16
TORNTPHARM,10.25,6.93,9.9,9.77,30.59,9.57,9.82,30.39,9.37
TRENT,68.36,36.31,18.16,,73.11,,,69.52,
TVSMOTOR,26.32,14.19,16.66,43.03,19.67,25.27,40.43,19.14,24.57
ULTRACEMCO,16.6,11.33,13.09,8.64,23.89,12.21,8.74,22.53,11.75
UNIONBANK,13.14,23.95,13.07,68.91,,23.39,65.1,,-3.97
UNITDSPR,11.66,3.92,0.75,57.26,15.53,,56.05,13.7,
VBL,35.49,25.74,22.46,80.57,47.61,,81.71,43.1,
VEDL,17.76,9.32,8.07,-20.55,-4.91,-4.07,-29.2,-10.35,-6.26
WIPRO,13.17,8.75,7.53,0.74,4.26,3.35,3.23,9.46,6.25
ZOMATO,82.47,55.96,,,,,,,
ZYDUSLIFE,10.71,8.22,10.47,22.06,15.91,16.87,21.86,16.12,16.86
