company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
IRCTC,2015,+,-,-,Reinvestment
IRCTC,2016,+,+,-,Shareholder Returns
IRCTC,2017,+,+,-,Shareholder Returns
IRCTC,2018,+,+,-,Shareholder Returns
IRCTC,2019,+,-,-,Reinvestment
IRCTC,2020,+,+,-,Shareholder Returns
IRCTC,2021,+,-,-,Reinvestment
IRCTC,2022,+,-,-,Reinvestment
IRCTC,2023,+,-,-,Reinvestment
IRCTC,2024,+,-,-,Reinvestment
IRFC,2016,-,+,+,Distress
IRFC,2017,-,+,+,Distress
IRFC,2018,-,+,+,Distress
IRFC,2019,-,+,+,Distress
IRFC,2020,-,+,+,Distress
IRFC,2021,-,0,+,Other
IRFC,2022,-,-,+,Debt Funded Growth
IRFC,2023,-,0,+,Other
IRFC,2024,+,-,-,Reinvestment
ITC,2013,+,-,-,Reinvestment
ITC,2014,+,-,-,Reinvestment
ITC,2015,+,-,-,Reinvestment
ITC,2016,+,-,-,Reinvestment
ITC,2017,+,-,-,Reinvestment
ITC,2018,+,-,-,Reinvestment
ITC,2019,+,-,-,Reinvestment
ITC,2020,+,-,-,Reinvestment
ITC,2021,+,+,-,Shareholder Returns
ITC,2022,+,-,-,Reinvestment
ITC,2023,+,-,-,Reinvestment
ITC,2024,+,+,-,Shareholder Returns
JINDALSTEL,2013,+,-,+,Mixed
JINDALSTEL,2014,+,-,+,Mixed
JINDALSTEL,2015,+,-,+,Mixed
JINDALSTEL,2016,+,-,-,Reinvestment
JINDALSTEL,2017,+,-,-,Reinvestment
JINDALSTEL,2018,+,-,-,Reinvestment
JINDALSTEL,2019,+,-,-,Reinvestment
JINDALSTEL,2020,+,-,-,Reinvestment
JINDALSTEL,2021,+,-,-,Reinvestment
JINDALSTEL,2022,+,-,-,Reinvestment
JINDALSTEL,2023,+,-,-,Reinvestment
JINDALSTEL,2024,+,-,+,Mixed
JIOFIN,2023,+,-,-,Reinvestment
JIOFIN,2024,-,+,-,Mixed
JSWENERGY,2013,+,-,-,Reinvestment
JSWENERGY,2014,+,-,-,Reinvestment
JSWENERGY,2015,+,-,-,Reinvestment
JSWENERGY,2016,+,-,-,Reinvestment
JSWENERGY,2017,+,-,-,Reinvestment
JSWENERGY,2018,+,-,-,Reinvestment
JSWENERGY,2019,+,-,-,Reinvestment
JSWENERGY,2020,+,+,-,Shareholder Returns
JSWENERGY,2021,+,-,-,Reinvestment
JSWENERGY,2022,+,-,-,Reinvestment
JSWENERGY,2023,+,-,+,Mixed
JSWENERGY,2024,+,-,+,Mixed
JSWSTEEL,2013,+,-,-,Reinvestment
JSWSTEEL,2014,+,-,+,Mixed
JSWSTEEL,2015,+,-,-,Reinvestment
JSWSTEEL,2016,+,-,-,Reinvestment
JSWSTEEL,2017,+,-,-,Reinvestment
JSWSTEEL,2018,+,-,-,Reinvestment
JSWSTEEL,2019,+,-,+,Mixed
JSWSTEEL,2020,+,-,+,Mixed
JSWSTEEL,2021,+,-,-,Reinvestment
JSWSTEEL,2022,+,-,-,Reinvestment
JSWSTEEL,2023,+,-,-,Reinvestment
JSWSTEEL,2024,+,-,-,Reinvestment
KOTAKBANK,2013,+,-,+,Mixed
KOTAKBANK,2014,+,-,-,Reinvestment
KOTAKBANK,2015,+,-,+,Mixed
KOTAKBANK,2016,+,-,+,Mixed
KOTAKBANK,2017,+,-,+,Mixed
KOTAKBANK,2018,-,-,+,Debt Funded Growth
KOTAKBANK,2019,+,-,+,Mixed
KOTAKBANK,2020,+,-,-,Reinvestment
KOTAKBANK,2021,+,-,-,Reinvestment
KOTAKBANK,2022,+,-,+,Mixed
KOTAKBANK,2023,-,-,+,Debt Funded Growth
KOTAKBANK,2024,+,-,+,Mixed
LICI,2019,+,+,-,Shareholder Returns
LICI,2020,+,-,-,Reinvestment
LICI,2021,+,+,-,Shareholder Returns
LICI,2022,-,+,0,Other
LICI,2023,+,-,-,Reinvestment
LICI,2024,+,-,-,Reinvestment
LODHA,2016,+,-,+,Mixed
LODHA,2017,+,-,-,Reinvestment
LODHA,2018,+,-,+,Mixed
LODHA,2019,-,-,+,Debt Funded Growth
LODHA,2020,+,+,-,Shareholder Returns
LODHA,2021,+,+,-,Shareholder Returns
LODHA,2022,+,+,-,Shareholder Returns
LODHA,2023,+,+,-,Shareholder Returns
LODHA,2024,+,-,+,Mixed
LT,2013,-,-,+,Debt Funded Growth
LT,2014,-,-,+,Debt Funded Growth
LT,2015,-,-,+,Debt Funded Growth
LT,2016,-,-,+,Debt Funded Growth
LT,2017,+,-,+,Mixed
LT,2018,-,+,+,Distress
LT,2019,-,-,+,Debt Funded Growth
LT,2020,+,-,+,Mixed
LT,2021,+,-,-,Reinvestment
LT,2022,+,-,-,Reinvestment
LT,2023,+,-,-,Reinvestment
LT,2024,+,+,-,Shareholder Returns
LTIM,2013,+,-,-,Reinvestment
LTIM,2014,+,+,-,Shareholder Returns
LTIM,2015,+,-,-,Reinvestment
LTIM,2016,+,-,-,Reinvestment
LTIM,2017,+,-,-,Reinvestment
LTIM,2018,+,-,-,Reinvestment
LTIM,2019,+,-,-,Reinvestment
LTIM,2020,+,-,-,Reinvestment
LTIM,2021,+,-,-,Reinvestment
LTIM,2022,+,-,-,Reinvestment
LTIM,2023,+,-,-,Reinvestment
LTIM,2024,+,-,-,Reinvestment
M&M,2013,-,-,+,Debt Funded Growth
M&M,2014,-,-,+,Debt Funded Growth
M&M,2015,+,-,+,Mixed
M&M,2016,+,-,+,Mixed
M&M,2017,+,-,+,Mixed
M&M,2018,+,-,+,Mixed
M&M,2019,-,-,+,Debt Funded Growth
M&M,2020,-,-,+,Debt Funded Growth
M&M,2021,+,-,+,Mixed
M&M,2022,+,-,-,Reinvestment
M&M,2023,-,-,+,Debt Funded Growth
M&M,2024,-,-,+,Debt Funded Growth
MARUTI,2013,+,-,-,Reinvestment
MARUTI,2014,+,-,-,Reinvestment
MARUTI,2015,+,-,-,Reinvestment
MARUTI,2016,+,-,-,Reinvestment
MARUTI,2017,+,-,-,Reinvestment
MARUTI,2018,+,-,-,Reinvestment
MARUTI,2019,+,-,-,Reinvestment
MARUTI,2020,+,-,-,Reinvestment
MARUTI,2021,+,-,-,Reinvestment
MARUTI,2022,+,-,-,Reinvestment
MARUTI,2023,+,-,-,Reinvestment
MARUTI,2024,+,-,-,Reinvestment
MOTHERSON,2013,+,-,-,Reinvestment
MOTHERSON,2014,+,-,-,Reinvestment
MOTHERSON,2015,+,-,+,Mixed
MOTHERSON,2016,+,-,-,Reinvestment
MOTHERSON,2017,+,-,+,Mixed
MOTHERSON,2018,+,-,-,Reinvestment
MOTHERSON,2019,+,-,-,Reinvestment
MOTHERSON,2020,+,-,-,Reinvestment
MOTHERSON,2021,+,-,-,Reinvestment
MOTHERSON,2022,+,-,-,Reinvestment
MOTHERSON,2023,+,-,-,Reinvestment
MOTHERSON,2024,+,-,+,Mixed
NAUKRI,2013,+,-,-,Reinvestment
NAUKRI,2014,+,-,+,Mixed
NAUKRI,2015,+,-,+,Mixed
NAUKRI,2016,+,-,-,Reinvestment
NAUKRI,2017,+,-,-,Reinvestment
NAUKRI,2018,+,-,-,Reinvestment
NAUKRI,2019,+,-,-,Reinvestment
NAUKRI,2020,+,+,-,Shareholder Returns
NAUKRI,2021,+,-,+,Mixed
NAUKRI,2022,+,-,+,Mixed
NAUKRI,2023,+,-,+,Mixed
NAUKRI,2024,+,-,+,Mixed
NESTLEIND,2013,+,-,-,Reinvestment
NESTLEIND,2014,+,-,-,Reinvestment
NESTLEIND,2015,+,-,-,Reinvestment
NESTLEIND,2016,+,-,-,Reinvestment
NESTLEIND,2017,+,-,-,Reinvestment
NESTLEIND,2018,+,-,-,Reinvestment
NESTLEIND,2019,+,+,-,Shareholder Returns
NESTLEIND,2020,+,-,-,Reinvestment
NESTLEIND,2021,+,-,-,Reinvestment
NESTLEIND,2022,+,-,-,Reinvestment
NESTLEIND,2023,+,-,-,Reinvestment
NESTLEIND,2024,+,-,-,Reinvestment
NHPC,2013,+,-,-,Reinvestment
NHPC,2014,+,-,-,Reinvestment
NHPC,2015,+,-,-,Reinvestment
NHPC,2016,+,-,-,Reinvestment
NHPC,2017,+,-,-,Reinvestment
NHPC,2018,+,-,-,Reinvestment
NHPC,2019,+,-,-,Reinvestment
NHPC,2020,+,-,+,Mixed
NHPC,2021,+,-,-,Reinvestment
NHPC,2022,+,-,-,Reinvestment
NHPC,2023,+,-,-,Reinvestment
NHPC,2024,+,-,-,Reinvestment
NTPC,2013,+,-,+,Mixed
NTPC,2014,+,-,-,Reinvestment
NTPC,2015,+,-,-,Reinvestment
NTPC,2016,+,-,-,Reinvestment
NTPC,2017,+,-,+,Mixed
NTPC,2018,+,-,+,Mixed
NTPC,2019,+,-,+,Mixed
NTPC,2020,+,-,+,Mixed
NTPC,2021,+,-,-,Reinvestment
NTPC,2022,+,-,-,Reinvestment
NTPC,2023,+,-,-,Reinvestment
NTPC,2024,+,-,-,Reinvestment
ONGC,2013,+,-,-,Reinvestment
ONGC,2014,+,-,+,Mixed
ONGC,2015,+,-,-,Reinvestment
ONGC,2016,+,-,-,Reinvestment
ONGC,2017,+,-,-,Reinvestment
ONGC,2018,+,-,+,Mixed
ONGC,2019,+,-,-,Reinvestment
ONGC,2020,+,-,-,Reinvestment
ONGC,2021,+,-,-,Reinvestment
ONGC,2022,+,-,-,Reinvestment
ONGC,2023,+,-,-,Reinvestment
ONGC,2024,+,-,-,Reinvestment
PFC,2013,-,+,+,Distress
PFC,2014,-,+,+,Distress
PFC,2015,-,-,+,Debt Funded Growth
PFC,2016,-,-,+,Debt Funded Growth
PFC,2017,+,-,+,Mixed
PFC,2018,-,+,+,Distress
PFC,2019,-,-,+,Debt Funded Growth
PFC,2020,-,-,+,Debt Funded Growth
PFC,2021,-,+,+,Distress
PFC,2022,+,-,-,Reinvestment
PFC,2023,-,-,+,Debt Funded Growth
PFC,2024,-,-,+,Debt Funded Growth
PIDILITIND,2013,+,-,-,Reinvestment
PIDILITIND,2014,+,-,-,Reinvestment
PIDILITIND,2015,+,-,-,Reinvestment
PIDILITIND,2016,+,-,-,Reinvestment
PIDILITIND,2017,+,-,+,Mixed
PIDILITIND,2018,+,+,-,Shareholder Returns
PIDILITIND,2019,+,-,-,Reinvestment
PIDILITIND,2020,+,+,-,Shareholder Returns
PIDILITIND,2021,+,-,-,Reinvestment
PIDILITIND,2022,+,-,-,Reinvestment
PIDILITIND,2023,+,-,-,Reinvestment
PIDILITIND,2024,+,-,-,Reinvestment
PNB,2013,-,-,-,Pre-Revenue
PNB,2014,+,-,+,Mixed
PNB,2015,+,-,+,Mixed
PNB,2016,+,-,+,Mixed
PNB,2017,+,+,-,Shareholder Returns
PNB,2018,-,+,+,Distress
PNB,2019,-,-,+,Debt Funded Growth
PNB,2020,-,-,+,Debt Funded Growth
PNB,2021,+,-,+,Mixed
PNB,2022,+,-,+,Mixed
PNB,2023,+,-,+,Mixed
PNB,2024,-,-,+,Debt Funded Growth
POWERGRID,2013,+,-,+,Mixed
POWERGRID,2014,+,-,+,Mixed
POWERGRID,2015,+,-,+,Mixed
POWERGRID,2016,+,-,+,Mixed
POWERGRID,2017,+,-,+,Mixed
POWERGRID,2018,+,-,+,Mixed
POWERGRID,2019,+,-,-,Reinvestment
POWERGRID,2020,+,-,-,Reinvestment
POWERGRID,2021,+,-,-,Reinvestment
POWERGRID,2022,+,+,-,Shareholder Returns
POWERGRID,2023,+,-,-,Reinvestment
POWERGRID,2024,+,-,-,Reinvestment
RECLTD,2013,-,+,+,Distress
RECLTD,2014,-,+,+,Distress
RECLTD,2015,-,+,+,Distress
RECLTD,2016,-,-,+,Debt Funded Growth
RECLTD,2017,+,-,-,Reinvestment
RECLTD,2018,-,+,+,Distress
RECLTD,2019,-,+,+,Distress
RECLTD,2020,-,+,+,Distress
RECLTD,2021,-,+,+,Distress
RECLTD,2022,-,-,+,Debt Funded Growth
RECLTD,2023,-,-,+,Debt Funded Growth
RECLTD,2024,-,-,+,Debt Funded Growth
RELIANCE,2013,+,-,+,Mixed
RELIANCE,2014,+,-,+,Mixed
RELIANCE,2015,+,-,+,Mixed
RELIANCE,2016,+,-,-,Reinvestment
RELIANCE,2017,+,-,+,Mixed
RELIANCE,2018,+,-,-,Reinvestment
RELIANCE,2019,+,-,+,Mixed
RELIANCE,2020,+,-,-,Reinvestment
RELIANCE,2021,+,-,+,Mixed
RELIANCE,2022,+,-,+,Mixed
RELIANCE,2023,+,-,+,Mixed
RELIANCE,2024,+,-,-,Reinvestment
SBILIFE,2013,+,-,-,Reinvestment
SBILIFE,2014,+,-,-,Reinvestment
SBILIFE,2015,+,-,-,Reinvestment
SBILIFE,2016,+,-,-,Reinvestment
SBILIFE,2017,+,-,-,Reinvestment
SBILIFE,2018,+,-,-,Reinvestment
SBILIFE,2019,+,-,-,Reinvestment
SBILIFE,2020,+,-,-,Reinvestment
SBILIFE,2021,+,-,+,Mixed
SBILIFE,2022,+,-,-,Reinvestment
SBILIFE,2023,+,-,-,Reinvestment
SBILIFE,2024,+,-,-,Reinvestment
SBIN,2013,+,-,-,Reinvestment
SBIN,2014,+,-,+,Mixed
SBIN,2015,+,-,-,Reinvestment
SBIN,2016,+,-,+,Mixed
SBIN,2017,+,-,-,Reinvestment
SBIN,2018,-,+,+,Distress
SBIN,2019,+,+,+,Cash Accumulator
SBIN,2020,+,-,+,Mixed
SBIN,2021,+,-,+,Mixed
SBIN,2022,+,-,-,Reinvestment
SBIN,2023,-,-,+,Debt Funded Growth
SBIN,2024,+,-,-,Reinvestment
SHREECEM,2013,+,-,-,Reinvestment
SHREECEM,2014,+,-,-,Reinvestment
SHREECEM,2015,+,-,-,Reinvestment
SHREECEM,2016,+,-,-,Reinvestment
SHREECEM,2017,+,-,-,Reinvestment
SHREECEM,2018,+,-,+,Mixed
SHREECEM,2019,+,-,-,Reinvestment
SHREECEM,2020,+,-,+,Mixed
SHREECEM,2021,+,-,-,Reinvestment
SHREECEM,2022,+,-,-,Reinvestment
SHREECEM,2023,+,-,-,Reinvestment
SHREECEM,2024,+,-,-,Reinvestment
SHRIRAMFIN,2013,-,-,+,Debt Funded Growth
SHRIRAMFIN,2014,-,-,+,Debt Funded Growth
SHRIRAMFIN,2015,-,-,+,Debt Funded Growth
SHRIRAMFIN,2016,-,-,+,Debt Funded Growth
SHRIRAMFIN,2017,-,-,+,Debt Funded Growth
SHRIRAMFIN,2018,-,+,+,Distress
SHRIRAMFIN,2019,-,-,+,Debt Funded Growth
SHRIRAMFIN,2020,-,-,+,Debt Funded Growth
SHRIRAMFIN,2021,-,-,+,Debt Funded Growth
SHRIRAMFIN,2022,-,-,+,Debt Funded Growth
SHRIRAMFIN,2023,-,+,+,Distress
SHRIRAMFIN,2024,-,-,+,Debt Funded Growth
SIEMENS,2011,+,+,-,Shareholder Returns
SIEMENS,2014,+,+,-,Shareholder Returns
SIEMENS,2015,+,+,-,Shareholder Returns
SIEMENS,2016,+,+,-,Shareholder Returns
SIEMENS,2017,+,+,-,Shareholder Returns
SIEMENS,2018,+,-,-,Reinvestment
SIEMENS,2019,+,-,-,Reinvestment
SIEMENS,2020,+,+,-,Shareholder Returns
SIEMENS,2021,+,-,-,Reinvestment
SIEMENS,2022,+,-,-,Reinvestment
SIEMENS,2023,+,-,-,Reinvestment
SIEMENS,2024,+,-,-,Reinvestment
SUNPHARMA,2013,+,-,-,Reinvestment
SUNPHARMA,2014,+,-,+,Mixed
SUNPHARMA,2015,+,-,-,Reinvestment
SUNPHARMA,2016,+,-,-,Reinvestment
SUNPHARMA,2017,+,-,-,Reinvestment
SUNPHARMA,2018,+,-,-,Reinvestment
SUNPHARMA,2019,+,-,-,Reinvestment
SUNPHARMA,2020,+,-,-,Reinvestment
SUNPHARMA,2021,+,+,-,Shareholder Returns
SUNPHARMA,2022,+,-,-,Reinvestment
SUNPHARMA,2023,+,-,+,Mixed
SUNPHARMA,2024,+,-,-,Reinvestment
TATACONSUM,2013,+,+,+,Cash Accumulator
TATACONSUM,2014,+,-,-,Reinvestment
TATACONSUM,2015,+,-,-,Reinvestment
TATACONSUM,2016,+,+,-,Shareholder Returns
TATACONSUM,2017,+,+,-,Shareholder Returns
TATACONSUM,2018,+,-,-,Reinvestment
TATACONSUM,2019,+,+,-,Shareholder Returns
TATACONSUM,2020,+,-,-,Reinvestment
TATACONSUM,2021,+,-,-,Reinvestment
TATACONSUM,2022,+,-,-,Reinvestment
TATACONSUM,2023,+,-,-,Reinvestment
TATACONSUM,2024,+,-,+,Mixed
TATAMOTORS,2013,+,-,-,Reinvestment
TATAMOTORS,2014,+,-,-,Reinvestment
TATAMOTORS,2015,+,-,+,Mixed
TATAMOTORS,2016,+,-,-,Reinvestment
TATAMOTORS,2017,+,-,+,Mixed
TATAMOTORS,2018,+,-,+,Mixed
TATAMOTORS,2019,+,-,+,Mixed
TATAMOTORS,2020,+,-,+,Mixed
TATAMOTORS,2021,+,-,+,Mixed
TATAMOTORS,2022,+,-,-,Reinvestment
TATAMOTORS,2023,+,-,-,Reinvestment
TATAMOTORS,2024,+,-,-,Reinvestment
TATAPOWER,2013,+,-,-,Reinvestment
TATAPOWER,2014,+,-,-,Reinvestment
TATAPOWER,2015,+,-,-,Reinvestment
TATAPOWER,2016,+,-,-,Reinvestment
TATAPOWER,2017,+,-,+,Mixed
TATAPOWER,2018,+,-,-,Reinvestment
TATAPOWER,2019,+,-,-,Reinvestment
TATAPOWER,2020,+,-,-,Reinvestment
TATAPOWER,2021,+,+,-,Shareholder Returns
TATAPOWER,2022,+,-,-,Reinvestment
TATAPOWER,2023,+,-,+,Mixed
TATAPOWER,2024,+,-,-,Reinvestment
TATASTEEL,2013,+,-,-,Reinvestment
TATASTEEL,2014,+,-,+,Mixed
TATASTEEL,2015,+,-,-,Reinvestment
TATASTEEL,2016,+,-,-,Reinvestment
TATASTEEL,2017,+,-,-,Reinvestment
TATASTEEL,2018,+,-,+,Mixed
TATASTEEL,2019,+,-,-,Reinvestment
TATASTEEL,2020,+,-,-,Reinvestment
TATASTEEL,2021,+,-,-,Reinvestment
TATASTEEL,2022,+,-,-,Reinvestment
TATASTEEL,2023,+,-,-,Reinvestment
TATASTEEL,2024,+,-,-,Reinvestment
TECHM,2013,+,-,+,Mixed
TECHM,2014,+,+,-,Shareholder Returns
TECHM,2015,+,-,-,Reinvestment
TECHM,2016,+,-,-,Reinvestment
TECHM,2017,+,-,-,Reinvestment
TECHM,2018,+,-,-,Reinvestment
TECHM,2019,+,-,-,Reinvestment
TECHM,2020,+,+,-,Shareholder Returns
TECHM,2021,+,-,-,Reinvestment
TECHM,2022,+,+,-,Shareholder Returns
TECHM,2023,+,-,-,Reinvestment
TECHM,2024,+,-,-,Reinvestment
TITAN,2013,+,-,-,Reinvestment
TITAN,2014,-,-,+,Debt Funded Growth
TITAN,2015,+,-,-,Reinvestment
TITAN,2016,+,-,-,Reinvestment
TITAN,2017,+,-,-,Reinvestment
TITAN,2018,-,+,-,Mixed
TITAN,2019,+,-,-,Reinvestment
TITAN,2020,-,+,-,Mixed
TITAN,2021,+,-,-,Reinvestment
TITAN,2022,-,+,-,Mixed
TITAN,2023,+,-,+,Mixed
TITAN,2024,+,-,-,Reinvestment
TORNTPHARM,2013,+,-,+,Mixed
TORNTPHARM,2014,+,-,+,Mixed
TORNTPHARM,2015,+,-,+,Mixed
TORNTPHARM,2016,+,-,-,Reinvestment
TORNTPHARM,2017,+,-,-,Reinvestment
TORNTPHARM,2018,+,-,+,Mixed
TORNTPHARM,2019,+,-,-,Reinvestment
TORNTPHARM,2020,+,+,-,Shareholder Returns
TORNTPHARM,2021,+,-,-,Reinvestment
TORNTPHARM,2022,+,-,-,Reinvestment
TORNTPHARM,2023,+,-,+,Mixed
TORNTPHARM,2024,+,-,-,Reinvestment
TRENT,2013,+,-,+,Mixed
TRENT,2014,-,-,-,Pre-Revenue
TRENT,2015,-,-,+,Debt Funded Growth
TRENT,2016,+,-,-,Reinvestment
TRENT,2017,+,-,-,Reinvestment
TRENT,2018,+,-,-,Reinvestment
TRENT,2019,+,-,+,Mixed
TRENT,2020,+,-,+,Mixed
TRENT,2021,+,+,-,Shareholder Returns
TRENT,2022,+,+,-,Shareholder Returns
TRENT,2023,+,-,-,Reinvestment
TRENT,2024,+,-,-,Reinvestment
TVSMOTOR,2013,+,-,-,Reinvestment
TVSMOTOR,2014,+,-,-,Reinvestment
TVSMOTOR,2015,+,-,+,Mixed
TVSMOTOR,2016,+,-,-,Reinvestment
TVSMOTOR,2017,+,-,-,Reinvestment
TVSMOTOR,2018,+,-,+,Mixed
TVSMOTOR,2019,-,-,+,Debt Funded Growth
TVSMOTOR,2020,+,-,+,Mixed
TVSMOTOR,2021,+,-,+,Mixed
TVSMOTOR,2022,-,-,+,Debt Funded Growth
TVSMOTOR,2023,-,-,+,Debt Funded Growth
TVSMOTOR,2024,-,-,+,Debt Funded Growth
ULTRACEMCO,2013,+,-,+,Mixed
ULTRACEMCO,2014,+,-,-,Reinvestment
ULTRACEMCO,2015,+,-,-,Reinvestment
ULTRACEMCO,2016,+,-,-,Reinvestment
ULTRACEMCO,2017,+,-,-,Reinvestment
ULTRACEMCO,2018,+,+,-,Shareholder Returns
ULTRACEMCO,2019,+,+,-,Shareholder Returns
ULTRACEMCO,2020,+,-,-,Reinvestment
ULTRACEMCO,2021,+,-,-,Reinvestment
ULTRACEMCO,2022,+,+,-,Shareholder Returns
ULTRACEMCO,2023,+,-,-,Reinvestment
ULTRACEMCO,2024,+,-,-,Reinvestment
UNIONBANK,2013,-,-,+,Debt Funded Growth
UNIONBANK,2014,+,-,+,Mixed
UNIONBANK,2015,-,-,+,Debt Funded Growth
UNIONBANK,2016,+,-,-,Reinvestment
UNIONBANK,2017,-,-,+,Debt Funded Growth
UNIONBANK,2018,+,-,+,Mixed
UNIONBANK,2019,-,-,+,Debt Funded Growth
UNIONBANK,2020,-,-,+,Debt Funded Growth
UNIONBANK,2021,+,-,-,Reinvestment
UNIONBANK,2022,+,-,-,Reinvestment
UNIONBANK,2023,+,-,-,Reinvestment
UNIONBANK,2024,+,-,-,Reinvestment
UNITDSPR,2013,+,-,-,Reinvestment
UNITDSPR,2014,-,-,+,Debt Funded Growth
UNITDSPR,2015,-,+,-,Mixed
UNITDSPR,2016,+,+,-,Shareholder Returns
UNITDSPR,2017,+,-,-,Reinvestment
UNITDSPR,2018,+,+,-,Shareholder Returns
UNITDSPR,2019,+,-,-,Reinvestment
UNITDSPR,2020,+,-,-,Reinvestment
UNITDSPR,2021,+,-,-,Reinvestment
UNITDSPR,2022,+,-,-,Reinvestment
UNITDSPR,2023,+,-,-,Reinvestment
UNITDSPR,2024,+,+,-,Shareholder Returns
VBL,2012,+,-,+,Mixed
VBL,2013,+,-,+,Mixed
VBL,2014,+,-,+,Mixed
VBL,2015,+,-,-,Reinvestment
VBL,2016,+,-,+,Mixed
VBL,2017,+,-,+,Mixed
VBL,2018,+,-,-,Reinvestment
VBL,2019,+,-,+,Mixed
VBL,2020,+,-,-,Reinvestment
VBL,2021,+,-,-,Reinvestment
VBL,2022,+,-,-,Reinvestment
VBL,2023,+,-,+,Mixed
VEDL,2013,+,-,+,Mixed
VEDL,2014,+,-,-,Reinvestment
VEDL,2015,+,-,-,Reinvestment
VEDL,2016,+,-,-,Reinvestment
VEDL,2017,+,+,-,Shareholder Returns
VEDL,2018,+,+,-,Shareholder Returns
VEDL,2019,+,-,-,Reinvestment
VEDL,2020,+,-,-,Reinvestment
VEDL,2021,+,-,-,Reinvestment
VEDL,2022,+,-,-,Reinvestment
VEDL,2023,+,-,-,Reinvestment
VEDL,2024,+,-,-,Reinvestment
WIPRO,2013,+,-,-,Reinvestment
WIPRO,2014,+,-,-,Reinvestment
WIPRO,2015,+,-,-,Reinvestment
WIPRO,2016,+,-,-,Reinvestment
WIPRO,2017,+,-,-,Reinvestment
WIPRO,2018,+,+,-,Shareholder Returns
WIPRO,2019,+,+,-,Shareholder Returns
WIPRO,2020,+,+,-,Shareholder Returns
WIPRO,2021,+,+,-,Shareholder Returns
WIPRO,2022,+,-,+,Mixed
WIPRO,2023,+,-,-,Reinvestment
WIPRO,2024,+,+,-,Shareholder Returns
ZOMATO,2020,-,+,+,Distress
ZOMATO,2021,-,-,+,Debt Funded Growth
ZOMATO,2022,-,-,+,Debt Funded Growth
ZOMATO,2023,-,+,-,Mixed
ZOMATO,2024,+,-,-,Reinvestment
ZYDUSLIFE,2013,+,-,+,Mixed
ZYDUSLIFE,2014,+,-,-,Reinvestment
ZYDUSLIFE,2015,+,-,-,Reinvestment
ZYDUSLIFE,2016,+,-,-,Reinvestment
ZYDUSLIFE,2017,+,-,+,Mixed
ZYDUSLIFE,2018,+,-,+,Mixed
ZYDUSLIFE,2019,+,-,+,Mixed
ZYDUSLIFE,2020,+,-,-,Reinvestment
ZYDUSLIFE,2021,+,-,-,Reinvestment
ZYDUSLIFE,2022,+,-,-,Reinvestment
ZYDUSLIFE,2023,+,+,-,Shareholder Returns
ZYDUSLIFE,2024,+,-,-,Reinvestment
