company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cashflow_quality,cashflow_status
PFC,2024,-97820.0,-3409.0,101261.0,32.0,-101229.0,-0.93,Negative
PIDILITIND,2024,2724.0,-1769.0,-742.0,212.0,955.0,1.08,Positive
PNB,2024,-27939.0,-1506.0,3518.0,-25928.0,-29445.0,-5.56,Negative
POWERGRID,2024,37290.0,-13114.0,-25903.0,-1728.0,24176.0,0.96,Positive
RECLTD,2024,-57723.0,-1831.0,59588.0,34.0,-59554.0,-0.94,Negative
RELIANCE,2024,158788.0,-113581.0,-16646.0,28561.0,45207.0,1.22,Positive
SBILIFE,2024,29122.0,-31221.0,-227.0,-2327.0,-2099.0,0.93,Positive
SBIN,2024,21632.0,-3476.0,-9896.0,8260.0,18156.0,1.62,Positive
SHREECEM,2024,3347.0,-1418.0,-1710.0,220.0,1929.0,1.07,Positive
SHRIRAMFIN,2024,-31101.0,-258.0,27609.0,-3750.0,-31359.0,-1.12,Negative
SIEMENS,2024,1670.0,-502.0,-523.0,644.0,1168.0,1.63,Positive
SUNPHARMA,2024,12135.0,-763.0,-6710.0,4662.0,11372.0,1.62,Positive
TATACONSUM,2024,1937.0,-1911.0,256.0,281.0,26.0,0.89,Positive
TATAMOTORS,2024,67915.0,-22782.0,-37006.0,8128.0,45133.0,1.14,Positive
TATAPOWER,2024,12596.0,-9027.0,-4497.0,-928.0,3569.0,0.93,Positive
TATASTEEL,2024,20301.0,-14253.0,-11097.0,-5049.0,6048.0,0.8,Positive
TCS,2024,44338.0,6091.0,-48536.0,1893.0,50429.0,0.81,Positive
TECHM,2024,6376.0,-1318.0,-4767.0,291.0,5058.0,1.05,Positive
TITAN,2024,1695.0,-189.0,-1329.0,177.0,1506.0,1.12,Positive
TORNTPHARM,2024,3266.0,-160.0,-2780.0,327.0,3106.0,1.11,Positive
TRENT,2024,1349.0,-508.0,-629.0,211.0,841.0,1.19,Positive
TVSMOTOR,2024,-1253.0,-1001.0,2759.0,505.0,-2254.0,-0.33,Negative
ULTRACEMCO,2024,10898.0,-8789.0,-1926.0,183.0,2109.0,1.02,Positive
UNIONBANK,2024,19930.0,-1394.0,-11489.0,7047.0,18536.0,1.55,Positive
UNITDSPR,2024,1118.0,226.0,-407.0,937.0,1344.0,1.77,Positive
VEDL,2024,35654.0,-13676.0,-26092.0,-4114.0,21978.0,0.9,Positive
WIPRO,2024,17622.0,1144.0,-18257.0,509.0,18766.0,0.91,Positive
ZOMATO,2024,646.0,-348.0,-207.0,91.0,298.0,1.16,Positive
ZYDUSLIFE,2024,3228.0,-1492.0,-1810.0,-75.0,1736.0,0.98,Positive
