id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,broad_sector,net_profit_margin,operating_profit_margin,roe,ebit,roce,roa,debt_to_equity,interest_coverage,net_debt,asset_turnover,debt_free,high_leverage_flag
102,ADANIENT,2017,36533,34631,1902.0,5.21,749,1257,315,1079,25.0,925,9.0,4.0,174,110.0,14026,20846,12630,47611,13668,7731,1042,25170,47611,Industrials,2.5319574083705145,5.206251881860236,6.543576683644596,1587.0,4.53661883254245,1.9428283379891202,1.4746745897000566,2.1089896579156724,19804,0.7673226775325029,No,False
103,ADANIENT,2018,35924,33886,2038.0,5.67,363,1250,664,487,23.0,594,7.0,6.0,175,110.0,14979,17637,23679,56405,10555,5526,1461,38864,56405,Industrials,1.653490702594366,5.673087629439929,3.936642587315263,1374.0,4.19849660820143,1.0530981295984398,1.1688647359003248,1.9208,16176,0.6368938923854268,No,False
104,ADANIENT,2019,40379,38409,1969.0,4.88,504,1625,390,459,32.0,506,7.0,6.0,176,110.0,14646,11243,16537,42536,9020,5765,1511,26240,42536,Industrials,1.2531266252259838,4.876297085118502,3.429113580916238,1579.0,6.0733105119427675,1.1895805905585857,0.7619273515857956,1.5218461538461538,9732,0.9492900131653188,No,False
105,ADANIENT,2020,43403,41108,2294.0,5.29,872,1572,472,1122,29.0,1040,10.0,10.0,177,110.0,16837,12419,17509,46875,10476,7347,1952,27099,46875,Industrials,2.3961477317236133,5.285348939013432,6.136779370980115,1822.0,6.204454130627256,2.2186666666666666,0.7328140673865581,2.013994910941476,10467,0.9259306666666667,No,False
106,ADANIENT,2021,39537,37031,2506.0,6.34,494,1377,537,1086,31.0,1046,8.0,12.0,178,110.0,17049,16227,18231,51617,10838,8825,5503,26451,51617,Industrials,2.645623087234742,6.338366593317652,6.0959263360335685,1969.0,5.897681662972504,2.026464149408141,0.9456844804475786,2.178649237472767,10724,0.7659685762442606,No,False
107,ADANIENT,2022,69420,65707,3714.0,5.35,1012,2526,1248,952,50.0,788,7.0,14.0,179,110.0,22147,41604,37726,101586,30123,23544,4292,43627,101586,Industrials,1.135119562085854,5.3500432152117545,3.5404591813811384,2466.0,3.861511720768544,0.7756974386234324,1.8692546165251382,1.870942201108472,37312,0.6833618805740949,No,False
108,ADANIENT,2023,127540,118722,8818.0,6.91,834,3969,2436,3247,32.0,2422,22.0,6.0,180,114.0,32937,53200,55027,141278,56881,24025,6310,54062,141278,Industrials,1.899012074643249,6.913909361768857,7.328068742246831,6382.0,7.39933450046956,1.7143504296493437,1.6096335965628876,2.431846812799194,46890,0.9027590990812441,No,False
109,ADANIENT,2024,96421,85044,11377.0,11.8,1146,4555,3042,4926,33.0,3335,28.0,5.0,181,114.0,38962,65310,56200,160586,65978,35180,8701,50728,160586,Industrials,3.458790097592848,11.799296833677312,8.534650424813185,8335.0,7.984787232004292,2.076768834144944,1.671358378544375,2.7492864983534577,56609,0.6004321671876751,No,False
111,ADANIGREEN,2017,502,98,403.0,80.28,80,334,333,-184,-75.0,-47,0.0,0.0,192,1274.0,-71,4347,610,6160,4341,267,26,1525,6160,Energy,-9.362549800796813,80.2788844621514,-3.906899418121363,70.0,1.2612612612612613,-0.762987012987013,3.6134663341645887,1.4461077844311376,4321,0.08149350649350649,No,False
112,ADANIGREEN,2018,1480,637,843.0,56.96,42,552,543,-210,-35.0,-138,-1.0,0.0,193,1564.0,-223,9864,4503,15709,9120,1725,87,4777,15709,Energy,-9.324324324324325,56.95945945945946,-10.290827740492169,300.0,2.677376171352075,-0.8784773060029283,7.355704697986577,1.6032608695652173,9777,0.09421350818002419,No,True
113,ADANIGREEN,2019,2058,532,1526.0,74.15,73,1121,1062,-585,-19.0,-475,-3.0,0.0,194,1564.0,369,11142,1582,14658,10388,743,77,3449,14658,Energy,-23.080660835762874,74.14965986394559,-24.573202276254527,464.0,3.5487571701720846,-3.240551234820576,5.764097258147957,1.4264049955396967,11065,0.14040114613180515,No,True
114,ADANIGREEN,2020,2549,1098,1450.0,56.89,-111,995,394,-50,23.0,-68,0.0,0.0,195,1564.0,793,14866,1201,18424,12554,1208,476,4186,18424,Energy,-2.6677128285602194,56.88505296194586,-2.8850233347475602,1056.0,6.131336004180456,-0.36908380373425964,6.307170131523122,1.3457286432160804,14390,0.13835214937038645,No,True
