company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,interest_coverage,asset_turnover,net_debt,debt_free,high_leverage_flag,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y,free_cash_flow,cashflow_quality,cashflow_status,broad_sector,pe_ratio,pb_ratio,dividend_yield_pct,roe_score,roce_score,npm_score,fcf_score,cash_quality_score,revenue_growth_score,pat_growth_score,debt_score,interest_score,composite_score
INDIGO,2024,11.852722628584695,76.29890862649484,892.568306010929,4953.540772532189,668.3306055646481,0.0185792349726775,22.61263972484953,56.38625204582652,-171,No,0,67.58,19.31,20.01,,120.69,32.93,,121.24,-34.88,9424.0,0.97,Positive,Consumer Discretionary,76.23,7.87,4.27,23.177088088870047,100.0,2.0464020494878823,18.35901724206586,27.927927927927925,51.303351475221994,100.0,98.88031118706634,0.5199662407190765,44.137804912913595
BAJAJHLDNG,2024,432.7262044653349,91.7743830787309,13.576787656460263,2.8134781808138465,11.302773131167417,0.0011613545449517,3764.5,0.0261199183560718,-64652,No,0,55.01,31.61,14.94,26.32,19.3,13.99,25.8,18.97,13.82,1469.0,1.01,Positive,Financials,37.73,9.38,3.37,0.0832609282779394,0.0,100.0,2.5206068570063316,31.53153153153153,86.53680893726725,14.905581200167859,99.93001026717492,100.0,41.92319098369474
HAL,2024,24.999177117277245,32.08913465652875,3816.582914572864,2590.993788819876,1687.7777777777776,0.6180904522613065,270.8837209302326,67.51333333333334,80,No,0,9.91,8.71,7.22,32.85,26.49,10.92,33.42,26.64,15.07,1814.0,0.98,Positive,Industrials,71.89,3.65,2.77,100.0,52.27878969605324,5.1060923674433125,3.207502090550711,28.82882882882883,20.93955886565454,20.939991607217795,62.75040571929662,7.120382865218584,32.5952834031074
TRENT,2024,11.935353535353537,15.927272727272726,36.30776794493609,22.33293248582718,20.622731080703712,0.4309242871189774,8.043478260869565,1.727869310248534,337,No,0,68.36,36.31,18.16,,73.11,,,69.52,,841.0,1.19,Positive,Consumer Discretionary,8.65,11.82,3.46,0.6804741197722326,0.3942744801816173,2.065633469306964,1.2702584318878667,47.747747747747745,100.0,60.06714225765841,74.03008766409948,0.13263745854681788,29.287997444990086
SUNPHARMA,2024,19.815658700538176,26.84289749881436,15.094161810671148,15.627194096293753,11.2650630655976,0.0514238145350024,58.33193277310925,0.5684929901064378,-11752,No,0,13.13,10.78,11.67,61.72,24.54,9.5,49.38,29.46,10.31,11372.0,1.62,Positive,Healthcare,37.9,6.71,3.88,0.12312704270973363,0.2588249191204685,3.8996864025284705,22.23748656074543,86.4864864864865,26.869091950730446,19.30339907679396,96.90091276966504,1.4695823398090389,28.803156668889628
TCS,2024,19.136712150207767,26.69068839692312,50.944313673485176,60.2081007004365,31.689259788825343,0.0886406082507266,87.09511568123393,1.6559406621205457,-23741,No,0,13.63,10.46,11.4,12.29,7.87,9.08,13.01,8.62,9.99,50429.0,0.81,Positive,Information Technology,78.69,6.08,1.62,1.065021467755749,1.1593169873264504,3.7416691828863256,100.0,13.513513513513518,25.95244915496992,5.31263113722199,94.65802022656315,2.234266610399753,28.116490793448097
IRCTC,2024,26.01873536299766,34.33255269320843,34.39628482972136,42.82674772036474,18.240026268264653,0.0185758513931888,82.73684210526316,0.7010343129207027,60,No,0,76.47,17.96,,81.12,29.17,,91.29,28.47,,667.0,1.42,Positive,Consumer Discretionary,60.44,5.74,1.08,0.6302535433942049,0.8082301278279815,5.343383151487446,0.9238243141002668,68.46846846846847,47.43626468060727,23.18925723877466,98.88051510052708,2.1183996265154827,25.83753250983449
SIEMENS,2024,12.221223021582734,13.9568345323741,17.698769290877124,17.7411102583781,10.743507648523655,0.0181676108614963,67.15,0.8790861298865568,278,No,0,19.0,11.19,7.61,35.65,19.85,16.25,34.84,19.64,16.15,1168.0,1.63,Positive,Industrials,33.32,9.25,3.69,0.1915581409775163,0.30152402243194076,2.132166396490235,1.9213156532473221,87.38738738738738,28.043540532798623,15.367184221569453,98.90511796264677,1.7040152718998107,25.58934192277797
UNITDSPR,2024,12.437063863616288,17.66628389718223,19.77250386181716,23.35499593826157,12.598425196850393,0.0372138744558348,29.05263157894737,1.0129742304939156,-380,No,0,11.66,3.92,0.75,57.26,15.53,,56.05,13.7,,1344.0,1.77,Positive,,,,,0.24604156517242548,0.4149191934058851,2.1824009395875725,2.2717317723888026,100.0,7.2185620166141495,11.741502308015106,97.75728338785787,0.6911767944777121,24.9521262434491
TATAMOTORS,2024,7.263066074788551,13.59538554282896,37.45613415294755,16.79050889790821,8.607629877598297,1.2631244259167669,6.530242339274985,1.1851234435931923,84291,No,0,20.58,7.72,6.52,,,8.51,,,6.95,45133.0,1.14,Positive,Consumer Discretionary,67.07,0.93,3.65,0.7106452535899157,0.28232277574734765,0.9782107943879407,89.45566041492454,43.243243243243235,18.103695216270406,11.17079311791859,23.877043854489926,0.09240728963149386,24.859964080721117
